trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
29,0,29,0,50.35045850003371,,50.32861070003128,5,50.35045850003371,50.35045850003371,0.01259669999126345,51.35507210000651,51.65751480002655,[0.13796296296296295],[-0.041666666666666664],[1],[0],[0],[1.316497000050731],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
30,0,30,0,51.71014480001759,,51.66183930000989,10,51.71014480001759,51.71014480001759,0.020713099977001548,52.72182390000671,53.32288430002518,[0.11388888888888889],[0.29907407407407405],[1],[0],[0],[1.6406530999811366],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
31,0,31,0,53.368840700015426,,53.32729310001014,10,53.368840700015426,53.368840700015426,0.021345200017094612,54.3713160000043,55.37215850001667,[-0.2759259259259259],[-0.39166666666666666],[1],[0],[0],[2.0241715000011027],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
32,0,32,0,55.3911008000141,,55.375300300016534,5,55.3911008000141,55.3911008000141,0.009366900019813329,56.40422419999959,56.83956759999273,[-0.13333333333333333],[-0.03518518518518519],[1],[0],[0],[1.454657199967187],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
33,0,33,0,56.88636549998773,,56.84274600003846,10,56.88636549998773,56.88636549998773,0.019984299957286566,57.8873978999909,60.47089340002276,[-0.31203703703703706],[-0.387037037037037],[1],[0],[0],[3.608531599980779],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
34,0,34,0,60.51478460000362,,60.47290039999643,10,60.51478460000362,60.51478460000362,0.017343099985737354,61.52032389998203,62.68736839998746,[-0.13703703703703704],[-0.3333333333333333],[1],[0],[0],[2.197220499976538],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
35,0,35,0,62.71596340002725,,62.68965459999163,5,62.71596340002725,62.71596340002725,0.009373000008054078,63.71955789998174,64.55390490003629,[-0.49444444444444446],[-0.23333333333333334],[1],[0],[0],[1.8548035999992862],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
36,0,36,0,64.59973860002356,,64.55683640000643,10,64.59973860002356,64.59973860002356,0.020279299991670996,65.60212689999025,65.82034209999256,[0.23333333333333334],[0.05462962962962963],[1],[0],[0],[1.243305399955716],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
37,0,37,0,65.85364779998781,,65.82747650000965,5,65.85364779998781,65.85364779998781,0.009994800027925521,66.86858970002504,67.71974020003108,[-0.4583333333333333],[-0.4675925925925926],[1],[0],[0],[1.8823005000012927],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
38,0,38,0,67.76376280002296,,67.7222454000148,10,67.76376280002296,67.76376280002296,0.018020999967120588,68.76859809999587,69.76949650002643,[-0.12407407407407407],[0.2796296296296296],[1],[0],[0],[2.0293016000068747],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
39,0,39,0,69.81624539999757,,69.7731472000014,10,69.81624539999757,69.81624539999757,0.02074670000001788,70.81816150003579,72.05210550001357,[0.3398148148148148],[-0.19722222222222222],[1],[0],[0],[2.258478300005663],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
40,0,40,0,72.07214820000809,,72.05526090000058,5,72.07214820000809,72.07214820000809,0.01097129995469004,73.08399830001872,73.31883860001108,[0.25277777777777777],[-0.09722222222222222],[1],[0],[0],[1.252798300003633],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
41,0,41,0,73.34142960002646,,73.322488899983,5,73.34142960002646,73.34142960002646,0.011363600031472743,74.3503804000211,75.35230189998401,[0.0],[0.4212962962962963],[1],[0],[0],[2.0184690000023693],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
42,0,42,0,75.40713499998674,,75.3572920000297,10,75.40713499998674,75.40713499998674,0.03060830000322312,76.41652249998879,77.60068030003458,[-0.32685185185185184],[-0.14722222222222223],[1],[0],[0],[2.2135475000250153],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
43,0,43,0,77.62269210000522,,77.6024365000194,5,77.62269210000522,77.62269210000522,0.0086571000283584,78.63290060003055,78.98439420002978,[0.025],[0.040740740740740744],[1],[0],[0],[1.3731360999518074],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
44,0,44,0,79.01856769999722,,78.98804910003673,5,79.01856769999722,79.01856769999722,0.011293799965642393,80.03275620000204,80.80131040001288,[-0.3425925925925926],[-0.45185185185185184],[1],[0],[0],[1.8021023000474088],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
45,0,45,0,80.83533400000306,,80.80584320001071,5,80.83533400000306,80.83533400000306,0.01447390002431348,81.8491095000063,82.2664154000231,[-0.34074074074074073],[-0.09351851851851851],[1],[0],[0],[1.4466841999674216],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
46,0,46,0,82.30937289999565,,82.26917139999568,10,82.30937289999565,82.30937289999565,0.01863539998885244,83.3150808000355,85.04926270002034,[-0.09444444444444444],[-0.47962962962962963],[1],[0],[0],[2.7616842999705113],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
47,0,47,0,85.09348769998178,,85.0517388000153,10,85.09348769998178,85.09348769998178,0.020442600012756884,86.09807830001228,86.71557340002619,[0.2175925925925926],[0.11666666666666667],[1],[0],[0],[1.6435438999906182],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
48,0,48,0,86.75680830003694,,86.7181702000089,10,86.75680830003694,86.75680830003694,0.02197679999517277,87.76427970000077,89.56952319998527,[0.10555555555555556],[-0.32037037037037036],[1],[0],[0],[2.8295301999896765],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
49,0,49,0,89.6031190000358,,89.57184350001626,5,89.6031190000358,89.6031190000358,0.012571899977046996,90.61372720001964,90.99817670002813,[-0.17592592592592593],[0.36203703703703705],[1],[0],[0],[1.4137578000081703],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
50,0,50,0,91.019769800012,,91.00111479999032,5,91.019769800012,91.019769800012,0.0097061000415124,92.03020049998304,93.26460430002771,[-0.012962962962962963],[0.04537037037037037],[1],[0],[0],[2.2539453000063077],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
51,0,51,0,93.29723430000013,,93.26788980001584,10,93.29723430000013,93.29723430000013,0.01920449995668605,94.29651399998693,96.13022570003523,[0.4222222222222222],[0.3907407407407407],[1],[0],[0],[2.843407899956219],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
