trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.035465699969790876,,0.005707599979359657,5,0.035465699969790876,0.035465699969790876,0.019894099968951195,1.0424913999740966,1.7845715999719687,[-0.002777777777777778],[-0.08055555555555556],[1],[0],[0],[1.763687500031665],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
1,0,1,0,1.8181117999483831,,1.794244399992749,5,1.8181117999483831,1.8181117999483831,0.017899799975566566,2.8251858999719843,3.3940252999891527,[-0.2388888888888889],[0.06296296296296296],[1],[0],[0],[1.5820026000146754],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
2,0,2,0,3.433209999988321,,3.3996250999625772,10,3.433209999988321,3.433209999988321,0.02627770003164187,4.441726199991535,5.20998949999921,[0.35462962962962963],[0.4212962962962963],[1],[0],[0],[1.7843606999958865],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
3,0,3,0,5.262430899951141,,5.2146915999474,10,5.262430899951141,5.262430899951141,0.034053999988827854,6.274309000000358,7.109132399957161,[0.4388888888888889],[0.1425925925925926],[1],[0],[0],[1.8607842999626882],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
4,0,4,0,7.137025299947709,,7.112300799984951,5,7.137025299947709,7.137025299947709,0.01576740003656596,8.14106829999946,9.093043499975465,[-0.2814814814814815],[-0.4722222222222222],[1],[0],[0],[1.964929400011897],[],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
5,0,5,0,9.130563799990341,,9.098348899977282,10,9.130563799990341,9.130563799990341,0.025816700013820082,10.140422699972987,10.291801599960309,[-0.044444444444444446],[-0.3509259259259259],[1],[0],[0],[1.1685526000219397],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
6,0,6,0,10.337662999983877,,10.29492219997337,10,10.337662999983877,10.337662999983877,0.02602869999827817,11.339973899943288,11.79260369995609,[-0.2574074074074074],[0.13425925925925927],[1],[0],[0],[1.4714828000287525],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
7,0,7,0,11.824674199975561,,11.798972499964293,5,11.824674199975561,11.824674199975561,0.019673400034662336,12.839598699996714,13.20848329999717,[0.046296296296296294],[-0.032407407407407406],[1],[0],[0],[1.390662899997551],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
8,0,8,0,13.237857599975541,,13.212726400000975,5,13.237857599975541,13.237857599975541,0.01618080004118383,14.239335199992638,14.774719799985178,[-0.2351851851851852],[0.2935185185185185],[1],[0],[0],[1.5461867999983951],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
9,0,9,0,14.810294599970803,,14.779713600000832,10,14.810294599970803,14.810294599970803,0.022454399964772165,,15.707320299989078,[0.09166666666666666],[0.19166666666666668],[1],[0],[0],[0.9056169000105001],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
10,0,10,0,15.727706599980593,,15.7104440999683,5,15.727706599980593,15.727706599980593,0.012118900020141155,16.73905229999218,17.207628899952397,[-0.25833333333333336],[-0.3138888888888889],[1],[0],[0],[1.4851639000116847],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
11,0,11,0,17.3097416999517,,17.21195029997034,10,17.3097416999517,17.3097416999517,0.033268800005316734,18.322379199962597,18.97446219995618,[0.17037037037037037],[0.22685185185185186],[1],[0],[0],[1.7292141999932937],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
12,0,12,0,19.003253799979575,,18.9784780999762,5,19.003253799979575,19.003253799979575,0.017777199973352253,20.005228800000623,20.440155699965544,[0.1814814814814815],[-0.28703703703703703],[1],[0],[0],[1.4441551000345498],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
13,0,13,0,20.477193799975794,,20.444154399971012,10,20.477193799975794,20.477193799975794,0.022713500016834587,21.487026199989486,22.556724399968516,[-0.4777777777777778],[-0.12962962962962962],[1],[0],[0],[2.0900665000081062],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
14,0,14,0,22.582479399978183,,22.561287899967283,5,22.582479399978183,22.582479399978183,0.015389800013508648,23.587405499943998,23.922589599969797,[-0.2064814814814815],[0.10740740740740741],[1],[0],[0],[1.3462519000167958],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
15,0,15,0,23.973737099964637,,23.926487599965185,10,23.973737099964637,23.973737099964637,0.02182859997265041,24.987195099995006,27.421258899965324,[-0.12777777777777777],[-0.47314814814814815],[1],[0],[0],[3.4734801999875344],[],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
16,0,16,0,27.47148769994965,,27.4236333000008,10,27.47148769994965,27.47148769994965,0.028036800038535148,28.48704379994888,29.637725699984003,[-0.14166666666666666],[-0.43703703703703706],[1],[0],[0],[2.1861096000066027],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
17,0,17,0,29.683300599979702,,29.641053499944974,10,29.683300599979702,29.683300599979702,0.024989099998492748,30.68611619999865,31.470692999952007,[-0.49074074074074076],[-0.3148148148148148],[1],[0],[0],[1.8049109000130557],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
18,0,18,0,31.51005909999367,,31.473529499955475,10,31.51005909999367,31.51005909999367,0.021294400037731975,32.518917399982456,33.039367599994875,[-0.2898148148148148],[0.13333333333333333],[1],[0],[0],[1.5436846999800764],['target'],248650,001,2024-10-08_13h06.08.631,Vision search,2024.1.5,None,2024-10-08 13h06.18.197862 +0530,
