trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0,45,0,84.30396510002902,,84.2847938000341,5,84.30396510002902,84.30396510002902,0.009384099976159632,85.3141856000293,85.91560800001025,[0.19444444444444445],[0.2490740740740741],[1],[0],[0],[1.6215029999730177],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
46,0,46,0,85.93877090001479,,85.91915480000898,5,85.93877090001479,85.93877090001479,0.012341200024820864,86.94789880001917,87.31528050004272,[0.32685185185185184],[0.2824074074074074],[1],[0],[0],[1.38428220001515],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
47,0,47,0,87.33586120000109,,87.31842980004149,5,87.33586120000109,87.33586120000109,0.00999350001802668,88.34702810004819,88.86501480004517,[0.4527777777777778],[-0.15185185185185185],[1],[0],[0],[1.5368373999954201],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
48,0,48,0,88.91277100000298,,88.86815819999902,10,88.91277100000298,88.91277100000298,0.024913900007959455,89.91310170001816,90.54733070003567,[-0.28055555555555556],[0.3592592592592593],[1],[0],[0],[1.6545811999822035],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
49,0,49,0,90.56633210001746,,90.54990090004867,5,90.56633210001746,90.56633210001746,0.009532800002489239,91.57952140003908,92.74929840001278,[-0.21851851851851853],[-0.18796296296296297],[1],[0],[0],[2.189318099990487],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
50,0,50,0,92.78239860001486,,92.75483060005354,5,92.78239860001486,92.78239860001486,0.016956100007519126,93.79567300004419,94.39778030000161,[-0.44074074074074077],[-0.2037037037037037],[1],[0],[0],[1.626370100013446],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
51,0,51,0,94.43482830002904,,94.4029347000178,10,94.43482830002904,94.43482830002904,0.022168800001963973,95.44531350000761,96.1795046000043,[0.18333333333333332],[0.45925925925925926],[1],[0],[0],[1.7550573999760672],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
52,0,52,0,96.21011360001285,,96.18215510004666,5,96.21011360001285,96.21011360001285,0.010059499996714294,97.21183169999858,98.28014880005503,[-0.1574074074074074],[-0.1259259259259259],[1],[0],[0],[2.0879909999785013],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
53,0,53,0,98.30864330002805,,98.28385430003982,5,98.30864330002805,98.30864330002805,0.014473199960775673,99.31159890000708,100.04702910000924,[-0.2212962962962963],[0.4388888888888889],[1],[0],[0],[1.7487062999862246],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
54,0,54,0,100.07589710003231,,100.05201440001838,5,100.07589710003231,100.07589710003231,0.015373000002000481,101.07793310005218,101.31284369999776,[-0.02962962962962963],[0.23703703703703705],[1],[0],[0],[1.245866700017359],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
